restaurant_external_id,restaurant_name,campus_slug,latitude,longitude
kakao_15818685,이라면 본점,natural,37.297049332579874,126.97145409716464
kakao_938268316,노꼬치킨 수원성균관대점,natural,37.29686232541787,126.96948043393031
kakao_1540805623,만복반점,natural,37.29735545426274,126.97051222230137
kakao_929132172,담은샤브칼국수 직영1호점,natural,37.2972498971177,126.96997202157
kakao_1324929519,감성 성대점,natural,37.29733736153016,126.97022462632962
kakao_1594934927,옛이야기,natural,37.29720068309033,126.97135591675978
kakao_27258679,만다,natural,37.29707861723572,126.969647268518
kakao_168487509,인생건어물맥주 대학로점,humanities,37.5850027656031,126.997318995671
kakao_11634881,한솥도시락 성균관대앞점,humanities,37.5849991617393,126.997323524524
kakao_22016023,맥덕스,humanities,37.58463515323663,126.99702011457204
kakao_338935651,명륜진사갈비 서울성균관대점,humanities,37.5853919804099,126.996752888324
kakao_122821905,물결식당,humanities,37.5846189353022,126.997017850868
kakao_25770908,피자헤븐 종로성대점,humanities,37.584619839485576,126.99714691879169
kakao_1869234515,맘스터치 피자앤치킨 종로성대점,humanities,37.58541902023971,126.99714122735443
kakao_483030266,명분,humanities,37.5851370161491,126.997434473514
kakao_633176459,집시포차 혜화점,humanities,37.5845216320441,126.997180887748
kakao_11520636,페르시안궁전,humanities,37.5849162754761,126.997559020842
kakao_1321651616,홍곱창 성대본점직영,humanities,37.5843576377575,126.996662359563
kakao_1755188559,혼또카레,humanities,37.5846657993498,126.997557896845
kakao_1317493018,가마치통닭 서울성대점,humanities,37.584566688801,126.997495630498
kakao_9453749,치킨매니아 성대점,humanities,37.585705532806,126.997011014372
kakao_435113124,철문집,humanities,37.584276554427,126.99688426848
kakao_21232703,틈,humanities,37.58426934684488,126.9968978548178
kakao_1124953697,준호네부대찌개 성대점,humanities,37.5842549306252,126.996885401551
kakao_1152401909,세아중식당,humanities,37.5844901051662,126.997532994776
kakao_399184950,만만타코야끼,humanities,37.58426034173,126.997086927521
kakao_21330977,더도어스,humanities,37.58425133168574,126.99708239919408
kakao_167602513,노말키친 혜화,humanities,37.5855703952,126.997498993441
kakao_24058331,명신식당,humanities,37.5842279072197,126.997137876396
kakao_16036704,미술관,humanities,37.584260345877695,126.99726014947544
kakao_9968170,성균원,humanities,37.584307200601,126.9973960082
kakao_2142464681,천향록,humanities,37.5844072148449,126.997583945245
kakao_18889918,인생의단맛,humanities,37.584179251861634,126.99706768381785
kakao_1700062133,싸움의고수 성균관대점,humanities,37.5842927853056,126.997423180785
kakao_13559293,이삭토스트 성균관대점,humanities,37.58439730419686,126.99759753162618
kakao_17652954,성균관감자탕,humanities,37.5841774525792,126.99717863639
kakao_223498484,전대포,humanities,37.5844063150135,126.997641686039
kakao_883727943,명쭈3 대학로본점,humanities,37.5841792585535,126.99735072592
kakao_1859806025,신전떡볶이 종로대학로점,humanities,37.5842134987835,126.9974639416
kakao_9029832,명륜쭈꾸미,humanities,37.584080144271454,126.99713561771978
kakao_131183348,양궈푸마라탕 성균관대점,humanities,37.5840981706597,126.997418658825
kakao_1283367577,퍼센트,humanities,37.5840981706656,126.997418658825
kakao_19976659,동두천부대찌개,humanities,37.5839792358762,126.997255631117
kakao_11817216,피자스쿨 서울성대점,humanities,37.5841558414301,126.997771893267
